2378,庶,合体,E2,广,廿灬,,,,,,,,
2379,麻,合体,E2,广,林,,,,,,,,
2380,庵,合体,E2,广,奄,,,,,,,,
2381,痊,合体,E2,疒,全,,,,,,,,
2382,痒,合体,E2,疒,羊,,,,,,,,
2383,痕,合体,E2,疒,艮,,,,,,,,
2384,廊,合体,E2,广,郎,,,,,,,,
2385,康,合体,E2,广,隶,,,,,,,,
2386,庸,合体,E2,广,庸下,,,,,,,,
2387,鹿,合体,E2,广,鹿,,,,,,,,
2398,着,合体,E2,羊,目,,,,,,,,
2472,屠,合体,E2,尸,者,,,,,,,,
2587,厨,合体,E2,厂,豆寸,,,,,,,,
2588,厦,合体,E2,厂,夏,,,,,,,,
2593,雁,合体,E2,厂,倠,,,,,,,,
2731,痘,合体,E2,疒,豆,,,,,,,,
2732,痢,合体,E2,疒,利,,,,,,,,
2733,痪,合体,E2,疒,奂,,,,,,,,
2734,痛,合体,E2,疒,甬,,,,,,,,
2789,雇,合体,E2,户,隹,,,,,,,,
2799,犀,合体,E2,尸,犀下,,,,,,,,
2800,属,合体,E2,尸,禹,,,,,,,,
2801,屡,合体,E2,尸,娄,,,,,,,,
2988,痹,合体,E2,疒,畀,,,,,,,,
2989,廓,合体,E2,广,郭,,,,,,,,
2990,痴,合体,E2,疒,知,,,,,,,,
2991,痰,合体,E2,疒,炎,,,,,,,,
2992,廉,合体,E2,广,兼,,,,,,,,
3094,愿,合体,E2,原,心,,,,,,,,
3144,腐,合体,E2,府,肉,,,,,,,,
3145,瘩,合体,E2,疒,荅,,,,,,,,
3146,瘟,合体,E2,疒,昷,,,,,,,,
3147,瘦,合体,E2,疒,叟,,,,,,,,
3279,摩,合体,E2,麻,手,,,,,,,,
3281,瘪,合体,E2,疒,自仑,,,,,,,,
3282,瘤,合体,E2,疒,留,,,,,,,,
3283,瘫,合体,E2,疒,难,,,,,,,,
3312,履,合体,E2,尸,復,,,,,,,,
3367,磨,合体,E2,麻,石,,,,,,,,
3368,瘾,合体,E2,疒,隐,,,,,,,,
3369,瘸,合体,E2,痂,肉,,,,,,,,
3425,癌,合体,E2,疒,嵒,,,,,,,,
3447,鹰,合体,E2,雁,鸟,,,,,,,,
3466,靡,合体,E2,麻,非,,,,,,,,
3467,癣,合体,E2,疒,鲜,,,,,,,,
3484,魔,合体,E2,麻,鬼,,,,,,,,
358,考,合体,E2,耂,丂,,,,,,,,
360,老,合体,E2,耂,匕,,,,,,,,
638,孝,合体,E2,耂,子,,,,,,,,
294,处,合体,E3,夂,卜,,,,,,,,
331,辽,合体,E3,辶,了,,,,,,,,
337,边,合体,E3,辶,力,,,,,,,,
350,迂,合体,E3,辶,于,,,,,,,,
379,过,合体,E3,辶,寸,,,,,,,,
398,达,合体,E3,辶,大,,,,,,,,
408,迈,合体,E3,辶,万,,,,,,,,
448,廷,合体,E3,廴,壬,,,,,,,,
451,迁,合体,E3,辶,千,,,,,,,,
453,迄,合体,E3,辶,乞,,,,,,,,
464,延,合体,E3,廴,正,,,,,,,,
502,旭,合体,E3,九,日,,,,,,,,
565,迅,合体,E3,辶,卂,,,,,,,,
598,巡,合体,E3,辶,𡿦,,,,,,,,
605,进,合体,E3,辶,井,,,,,,,,
608,远,合体,E3,辶,元,,,,,,,,
609,违,合体,E3,辶,韦,,,,,,,,
611,运,合体,E3,辶,云,,,,,,,,
704,还,合体,E3,辶,不,,,,,,,,
705,尬,合体,E3,尢,介,,,,,,,,
708,连,合体,E3,辶,车,,,,,,,,
791,近,合体,E3,辶,斤,,,,,,,,
794,返,合体,E3,辶,反,,,,,,,,
822,迎,合体,E3,辶,卯,,,,,,,,
837,这,合体,E3,辶,文,,,,,,,,
906,迟,合体,E3,辶,尺,,,,,,,,
1032,述,合体,E3,辶,术,,,,,,,,
1091,迪,合体,E3,辶,由,,,,,,,,
1123,迭,合体,E3,辶,失,,,,,,,,
1156,迫,合体,E3,辶,白,,,,,,,,
1161,爬,合体,E3,爪,巴,,,,,,,,
1302,建,合体,E3,廴,聿,,,,,,,,
1331,迢,合体,E3,辶,召,,,,,,,,
1377,赴,合体,E3,走,卜,,,,,,,,
1378,赵,合体,E3,走,㐅,,,,,,,,
1541,毡,合体,E3,毛,占,,,,,,,,
1545,选,合体,E3,辶,先,,,,,,,,
1546,适,合体,E3,辶,舌,,,,,,,,
1577,追,合体,E3,辶,追上,,,,,,,,
1588,逃,合体,E3,辶,兆,,,,,,,,
1599,勉,合体,E3,免,力,,,,,,,,
1623,迹,合体,E3,辶,亦,,,,,,,,
1645,送,合体,E3,辶,关,,,,,,,,
1647,迷,合体,E3,辶,米,,,,,,,,
1652,逆,合体,E3,辶,屰,,,,,,,,
1720,退,合体,E3,辶,艮,,,,,,,,
1728,逊,合体,E3,辶,孙,,,,,,,,
1788,赶,合体,E3,走,干,,,,,,,,
1789,起,合体,E3,走,己,,,,,,,,
1803,逝,合体,E3,辶,折,,,,,,,,
1853,速,合体,E3,辶,束,,,,,,,,
1854,逗,合体,E3,辶,豆,,,,,,,,
1859,翅,合体,E3,支,羽,,,,,,,,
1870,逐,合体,E3,辶,豕,,,,,,,,
1886,逞,合体,E3,辶,呈,,,,,,,,
1940,造,合体,E3,辶,告,,,,,,,,
1950,透,合体,E3,辶,秀,,,,,,,,
1982,途,合体,E3,辶,余,,,,,,,,
2003,逛,合体,E3,辶,狂,,,,,,,,
2007,逢,合体,E3,辶,夆,,,,,,,,
2064,递,合体,E3,辶,弟,,,,,,,,
2145,通,合体,E3,辶,甬,,,,,,,,
2254,彪,合体,E3,虎,彡,,,,,,,,
2259,匙,合体,E3,是,匕,,,,,,,,
2295,逻,合体,E3,辶,罗,,,,,,,,
2363,逸,合体,E3,辶,兔,,,,,,,,
2469,逮,合体,E3,辶,隶,,,,,,,,
2514,越,合体,E3,走,戉,,,,,,,,
2515,趁,合体,E3,走,㐱,,,,,,,,
2516,趋,合体,E3,走,刍,,,,,,,,
